Date,Close*,Adj Close**,Volume,
"Jan 12, 2016","1,938.68","1,938.68","4,887,260,000","1,735.00"
"Jan 11, 2016","1,923.67","1,923.67","4,607,290,000","1,736.00"
"Jan 08, 2016","1,922.03","1,922.03","4,664,940,000","1,737.00"
"Jan 07, 2016","1,943.09","1,943.09","5,076,590,000","1,738.00"
"Jan 06, 2016","1,990.26","1,990.26","4,336,660,000","1,739.00"
"Jan 05, 2016","2,016.71","2,016.71","3,706,620,000","1,740.00"
"Jan 04, 2016","2,012.66","2,012.66","4,304,880,000","1,741.00"
"Dec 31, 2015","2,043.94","2,043.94","2,655,330,000","1,742.00"
"Dec 30, 2015","2,063.36","2,063.36","2,367,430,000","1,743.00"
"Dec 29, 2015","2,078.36","2,078.36","2,542,000,000","1,744.00"
"Dec 28, 2015","2,056.50","2,056.50","2,492,510,000","1,745.00"
"Dec 24, 2015","2,060.99","2,060.99","1,411,860,000","1,746.00"
"Dec 23, 2015","2,064.29","2,064.29","3,484,090,000","1,747.00"
"Dec 22, 2015","2,038.97","2,038.97","3,520,860,000","1,748.00"
"Dec 21, 2015","2,021.15","2,021.15","3,760,280,000","1,749.00"
"Dec 18, 2015","2,005.55","2,005.55","6,683,070,000","1,750.00"
"Dec 17, 2015","2,041.89","2,041.89","4,327,390,000","1,751.00"
"Dec 16, 2015","2,073.07","2,073.07","4,635,450,000","1,752.00"
"Dec 15, 2015","2,043.41","2,043.41","4,353,540,000","1,753.00"
"Dec 14, 2015","2,021.94","2,021.94","4,612,440,000","1,754.00"
"Dec 11, 2015","2,012.37","2,012.37","4,301,060,000","1,755.00"
"Dec 10, 2015","2,052.23","2,052.23","3,715,150,000","1,756.00"
"Dec 09, 2015","2,047.62","2,047.62","4,385,250,000","1,757.00"
"Dec 08, 2015","2,063.59","2,063.59","4,173,570,000","1,758.00"
"Dec 07, 2015","2,077.07","2,077.07","4,043,820,000","1,759.00"
"Dec 04, 2015","2,091.69","2,091.69","4,214,910,000","1,760.00"
"Dec 03, 2015","2,049.62","2,049.62","4,306,490,000","1,761.00"
"Dec 02, 2015","2,079.51","2,079.51","3,950,640,000","1,762.00"
"Dec 01, 2015","2,102.63","2,102.63","3,712,120,000","1,763.00"
"Nov 30, 2015","2,080.41","2,080.41","4,275,030,000","1,764.00"
"Nov 27, 2015","2,090.11","2,090.11","1,466,840,000","1,765.00"
"Nov 25, 2015","2,088.87","2,088.87","2,852,940,000","1,766.00"
"Nov 24, 2015","2,089.14","2,089.14","3,884,930,000","1,767.00"
"Nov 23, 2015","2,086.59","2,086.59","3,587,980,000","1,768.00"
