Date,Price,Open,High,Low,Vol.,Change %,
06/10/2016,"2,096.07","2,109.57","2,109.57","2,089.96",,-0.92%,"1,643.00"
06/13/2016,"2,079.06","2,091.75","2,098.12","2,078.46",,-0.81%,"1,642.00"
06/14/2016,"2,075.32","2,076.65","2,081.30","2,064.10",,-0.18%,"1,641.00"
06/15/2016,"2,071.50","2,077.60","2,085.65","2,069.80",,-0.18%,"1,640.00"
06/16/2016,"2,077.99","2,066.36","2,079.62","2,050.37",,0.31%,"1,639.00"
06/17/2016,"2,071.22","2,078.20","2,078.20","2,062.84",,-0.33%,"1,638.00"
06/20/2016,"2,083.25","2,075.58","2,100.66","2,075.58",,0.58%,"1,637.00"
06/21/2016,"2,088.90","2,085.19","2,093.66","2,083.02",,0.27%,"1,636.00"
06/22/2016,"2,085.45","2,089.75","2,099.71","2,084.36",,-0.17%,"1,635.00"
06/23/2016,"2,113.32","2,092.80","2,113.32","2,092.80",,1.34%,"1,634.00"
06/24/2016,"2,037.41","2,103.81","2,103.81","2,032.57",,-3.59%,"1,633.00"
06/27/2016,"2,000.54","2,031.45","2,031.45","1,991.68",,-1.81%,"1,632.00"
06/28/2016,"2,036.09","2,006.67","2,036.09","2,006.67",,1.78%,"1,631.00"
06/29/2016,"2,070.77","2,042.69","2,073.13","2,042.69",,1.70%,"1,630.00"
06/30/2016,"2,098.86","2,073.17","2,098.94","2,070.00",,1.36%,"1,629.00"
07/01/2016,"2,102.95","2,099.34","2,108.71","2,097.90",,0.19%,"1,628.00"
07/05/2016,"2,088.55","2,095.05","2,095.05","2,080.86",,-0.68%,"1,627.00"
07/06/2016,"2,099.73","2,084.43","2,100.72","2,074.02",,0.54%,"1,626.00"
07/07/2016,"2,097.90","2,100.42","2,109.08","2,089.39",,-0.09%,"1,625.00"
07/08/2016,"2,129.90","2,106.97","2,131.71","2,106.97",,1.53%,"1,624.00"
07/11/2016,"2,137.16","2,131.72","2,143.16","2,131.72",,0.34%,"1,623.00"
07/12/2016,"2,152.14","2,139.50","2,155.40","2,139.50",,0.70%,"1,622.00"
07/13/2016,"2,152.43","2,153.81","2,156.45","2,146.21",,0.01%,"1,621.00"
07/14/2016,"2,163.75","2,157.88","2,168.99","2,157.88",,0.53%,"1,620.00"
07/15/2016,"2,161.74","2,165.13","2,169.05","2,155.79",,-0.09%,"1,619.00"
07/18/2016,"2,166.89","2,162.04","2,168.35","2,159.63",,0.24%,"1,618.00"
07/19/2016,"2,163.78","2,163.79","2,164.63","2,159.01",,-0.14%,"1,617.00"
07/20/2016,"2,173.02","2,166.10","2,175.63","2,164.89",,0.43%,"1,616.00"
07/21/2016,"2,165.17","2,172.91","2,174.56","2,159.75",,-0.36%,"1,615.00"
07/22/2016,"2,175.03","2,166.47","2,175.11","2,163.24",,0.46%,"1,614.00"
07/25/2016,"2,168.48","2,173.71","2,173.71","2,161.95",,-0.30%,"1,613.00"
07/26/2016,"2,169.18","2,168.97","2,173.54","2,160.18",,0.03%,"1,612.00"
07/27/2016,"2,166.58","2,169.81","2,174.98","2,159.07",,-0.12%,"1,611.00"
07/28/2016,"2,170.06","2,166.05","2,172.85","2,159.74",,0.16%,"1,610.00"
07/29/2016,"2,173.60","2,168.83","2,177.09","2,163.49",,0.16%,"1,609.00"
08/01/2016,"2,170.84","2,173.15","2,178.29","2,166.21",,-0.13%,"1,608.00"
08/02/2016,"2,157.03","2,169.94","2,170.20","2,147.58",,-0.64%,"1,607.00"
08/03/2016,"2,163.79","2,156.81","2,163.79","2,152.56",,0.31%,"1,606.00"
08/04/2016,"2,164.25","2,163.51","2,168.19","2,159.07",,0.02%,"1,605.00"
08/05/2016,"2,182.87","2,168.79","2,182.87","2,168.79",,0.86%,"1,604.00"
08/08/2016,"2,180.89","2,183.76","2,185.44","2,177.85",,-0.09%,"1,603.00"
08/09/2016,"2,181.74","2,182.24","2,187.66","2,178.61",,0.04%,"1,602.00"
08/10/2016,"2,175.49","2,182.81","2,183.41","2,172.00",,-0.29%,"1,601.00"
08/11/2016,"2,185.79","2,177.97","2,188.45","2,177.97",,0.47%,"1,600.00"
08/12/2016,"2,184.05","2,183.74","2,186.28","2,179.42",,-0.08%,"1,599.00"
08/15/2016,"2,190.15","2,186.08","2,193.81","2,186.08",,0.28%,"1,598.00"
08/16/2016,"2,178.15","2,186.24","2,186.24","2,178.14",,-0.55%,"1,597.00"
08/17/2016,"2,182.22","2,177.84","2,183.08","2,168.50",,0.19%,"1,596.00"
08/18/2016,"2,187.02","2,181.90","2,187.03","2,180.46",,0.22%,"1,595.00"
08/19/2016,"2,183.87","2,184.24","2,185.00","2,175.13",,-0.14%,"1,594.00"
08/22/2016,"2,182.64","2,181.58","2,185.15","2,175.96",,-0.06%,"1,593.00"
08/23/2016,"2,186.90","2,187.81","2,193.42","2,186.80",,0.20%,"1,592.00"
08/24/2016,"2,175.44","2,185.09","2,186.66","2,171.25",,-0.52%,"1,591.00"
08/25/2016,"2,172.47","2,173.29","2,179.00","2,169.74",,-0.14%,"1,590.00"
08/26/2016,"2,169.04","2,175.10","2,187.94","2,160.39",,-0.16%,"1,589.00"
08/29/2016,"2,180.38","2,170.19","2,183.48","2,170.19",,0.52%,"1,588.00"
08/30/2016,"2,176.12","2,179.45","2,182.27","2,170.41",,-0.20%,"1,587.00"
08/31/2016,"2,170.95","2,173.56","2,173.79","2,161.35",,-0.24%,"1,586.00"
09/01/2016,"2,170.86","2,171.33","2,173.56","2,157.09",,0.00%,"1,585.00"
09/02/2016,"2,179.98","2,177.49","2,184.87","2,173.59",,0.42%,"1,584.00"
09/06/2016,"2,186.48","2,181.61","2,186.57","2,175.10",,0.30%,"1,583.00"
09/07/2016,"2,186.16","2,185.17","2,187.87","2,179.07",,-0.01%,"1,582.00"
09/08/2016,"2,181.30","2,182.76","2,184.94","2,177.49",,-0.22%,"1,581.00"
09/09/2016,"2,127.81","2,169.08","2,169.08","2,127.81",,-2.45%,"1,580.00"
09/12/2016,"2,159.04","2,120.86","2,163.30","2,119.12",,1.47%,"1,579.00"
09/13/2016,"2,127.02","2,150.47","2,150.47","2,120.27",,-1.48%,"1,578.00"
09/14/2016,"2,125.77","2,127.86","2,141.33","2,119.90",,-0.06%,"1,577.00"
09/15/2016,"2,147.26","2,125.36","2,151.31","2,122.36",,1.01%,"1,576.00"
09/16/2016,"2,139.16","2,146.48","2,146.48","2,131.20",,-0.38%,"1,575.00"
09/19/2016,"2,139.12","2,143.99","2,153.61","2,135.91",,0.00%,"1,574.00"
09/20/2016,"2,139.76","2,145.94","2,150.80","2,139.17",,0.03%,"1,573.00"
09/21/2016,"2,163.12","2,144.58","2,165.11","2,139.57",,1.09%,"1,572.00"
09/22/2016,"2,177.18","2,170.94","2,179.99","2,170.94",,0.65%,"1,571.00"
