Local time,Open,High,Low,Close,Volume
24.11.2013 17:00:00.000 GMT-0500,1.35486,1.35599,1.34900,1.35162,186826.22940000007
25.11.2013 17:00:00.000 GMT-0500,1.35164,1.35747,1.35155,1.35721,201759.78970000002
26.11.2013 17:00:00.000 GMT-0500,1.35722,1.36128,1.35577,1.35795,210278.0517
27.11.2013 17:00:00.000 GMT-0500,1.35791,1.36180,1.35636,1.36047,154298.271
28.11.2013 17:00:00.000 GMT-0500,1.36043,1.36216,1.35800,1.35899,188846.69010000004
30.11.2013 17:00:00.000 GMT-0500,1.35899,1.35899,1.35890,1.35890,0
01.12.2013 17:00:00.000 GMT-0500,1.35848,1.36157,1.35255,1.35417,223055.45890000003
02.12.2013 17:00:00.000 GMT-0500,1.35416,1.36137,1.35240,1.35888,233584.42120000004
03.12.2013 17:00:00.000 GMT-0500,1.35886,1.36051,1.35283,1.35931,252132.46039999998
04.12.2013 17:00:00.000 GMT-0500,1.35929,1.36772,1.35431,1.36673,287458.1394
05.12.2013 17:00:00.000 GMT-0500,1.36672,1.37063,1.36124,1.37035,240158.1593
08.12.2013 17:00:00.000 GMT-0500,1.37143,1.37457,1.36942,1.37388,156692.56
09.12.2013 17:00:00.000 GMT-0500,1.37388,1.37948,1.37336,1.37610,191043.1594
10.12.2013 17:00:00.000 GMT-0500,1.37610,1.38107,1.37405,1.37859,189404.20940000002
11.12.2013 17:00:00.000 GMT-0500,1.37856,1.38032,1.37370,1.37529,203173.33959999998
12.12.2013 17:00:00.000 GMT-0500,1.37529,1.37691,1.37088,1.37400,179832.0903
15.12.2013 17:00:00.000 GMT-0500,1.37290,1.37983,1.37286,1.37602,181960.63749999995
16.12.2013 17:00:00.000 GMT-0500,1.37601,1.37821,1.37229,1.37683,174950.37929999997
17.12.2013 17:00:00.000 GMT-0500,1.37683,1.38112,1.36738,1.36832,216923.14130000002
18.12.2013 17:00:00.000 GMT-0500,1.36833,1.36938,1.36490,1.36609,205839.04990000004
19.12.2013 17:00:00.000 GMT-0500,1.36607,1.37091,1.36248,1.36703,187933.3802
22.12.2013 17:00:00.000 GMT-0500,1.36724,1.37166,1.36672,1.36957,121847.4896
23.12.2013 17:00:00.000 GMT-0500,1.36956,1.37123,1.36549,1.36757,79027.35020000002
24.12.2013 17:00:00.000 GMT-0500,1.36751,1.36809,1.36606,1.36800,3644.7600000000007
25.12.2013 17:00:00.000 GMT-0500,1.36800,1.37015,1.36619,1.36908,60597.15009999999
26.12.2013 17:00:00.000 GMT-0500,1.36905,1.38932,1.36869,1.37478,198522.3705
29.12.2013 17:00:00.000 GMT-0500,1.37558,1.38189,1.37280,1.38022,145202.06110000002
30.12.2013 17:00:00.000 GMT-0500,1.37971,1.38123,1.37410,1.37410,113992.86899999999
31.12.2013 17:00:00.000 GMT-0500,1.37410,1.37410,1.37410,1.37410,0.76
01.01.2014 17:00:00.000 GMT-0500,1.37553,1.37746,1.36294,1.36718,199626.3719
02.01.2014 17:00:00.000 GMT-0500,1.36718,1.36726,1.35820,1.35874,195848.89970000004
05.01.2014 17:00:00.000 GMT-0500,1.35935,1.36527,1.35715,1.36277,187620.3909
06.01.2014 17:00:00.000 GMT-0500,1.36276,1.36562,1.35965,1.36152,204513.74040000004
07.01.2014 17:00:00.000 GMT-0500,1.36154,1.36350,1.35529,1.35754,210419.92819999997
08.01.2014 17:00:00.000 GMT-0500,1.35752,1.36330,1.35480,1.36081,221747.71249999997
09.01.2014 17:00:00.000 GMT-0500,1.36080,1.36869,1.35710,1.36661,198266.39990000002
12.01.2014 17:00:00.000 GMT-0500,1.36783,1.36847,1.36370,1.36709,179864.6305
13.01.2014 17:00:00.000 GMT-0500,1.36709,1.36993,1.36490,1.36789,177108.30080000003
14.01.2014 17:00:00.000 GMT-0500,1.36787,1.36806,1.35814,1.36047,179040.73240000004
15.01.2014 17:00:00.000 GMT-0500,1.36046,1.36493,1.35830,1.36197,177062.829
16.01.2014 17:00:00.000 GMT-0500,1.36195,1.36209,1.35169,1.35389,165437.6203
19.01.2014 17:00:00.000 GMT-0500,1.35373,1.35679,1.35075,1.35514,119600.43
20.01.2014 17:00:00.000 GMT-0500,1.35513,1.35687,1.35164,1.35607,178524.72859999997
21.01.2014 17:00:00.000 GMT-0500,1.35608,1.35835,1.35345,1.35473,169671.8921
22.01.2014 17:00:00.000 GMT-0500,1.35473,1.36983,1.35303,1.36960,247321.05
23.01.2014 17:00:00.000 GMT-0500,1.36957,1.37394,1.36627,1.36737,220392.88089999993
26.01.2014 17:00:00.000 GMT-0500,1.36773,1.37166,1.36531,1.36727,196030.9387
